AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_STATE_NAME,LATITUDE,LONGITUDE
10001,01A,Afognak Lake Airport,"Afognak Lake, AK",1,Alaska,58.10944444,-152.90666667
10003,03A,Bear Creek Mining Strip,"Granite Mountain, AK",1,Alaska,65.54805556,-161.07166667
10004,04A,Lik Mining Camp,"Lik, AK",1,Alaska,68.08333333,-163.16666667
10005,05A,Little Squaw Airport,"Little Squaw, AK",1,Alaska,67.57000000,-148.18388889
10006,06A,Kizhuyak Bay,"Kizhuyak, AK",1,Alaska,57.74527778,-152.88277778
10007,07A,Klawock Seaplane Base,"Klawock, AK",1,Alaska,55.55472222,-133.10166667
10008,08A,Elizabeth Island Airport,"Elizabeth Island, AK",1,Alaska,59.15694444,-151.82916667
10009,09A,Augustin Island,"Homer, AK",1,Alaska,59.36277778,-153.43055556
10010,1B1,Columbia County,"Hudson, NY",22,New York,42.28888889,-73.71027778
10010,1B1,Columbia County,"Hudson, NY",22,New York,42.29138889,-73.71027778
10011,1G4,Grand Canyon West,"Peach Springs, AZ",81,Arizona,35.98611111,-113.81694444
10011,1G4,Grand Canyon West,"Peach Springs, AZ",81,Arizona,35.98611111,-113.81694444
10011,1G4,Grand Canyon West,"Peach Springs, AZ",81,Arizona,35.99027778,-113.81638889
10011,1G4,Grand Canyon West,"Peach Springs, AZ",81,Arizona,35.99027778,-113.81638889
10012,1N7,Blairstown Airport,"Blairstown, NJ",21,New Jersey,40.97111111,-74.99750000
10013,8F3,Crosbyton Municipal,"Crosbyton, TX",74,Texas,33.62388889,-101.24083333
10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",1,Alaska,64.36361111,-147.36388889
10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",1,Alaska,64.36416667,-147.36138889
10015,A02,Deadmans Bay Airport,"Deadmans Bay, AK",1,Alaska,57.06666667,-153.93777778
10016,A03,Hallo Bay Airport,"Hallo Bay, AK",1,Alaska,58.45750000,-154.02333333
10017,A04,Red Lake Airport,"Red Lake, AK",1,Alaska,57.27722222,-154.34222222
10018,A05,Shell Lake Airport,"Shell Lake, AK",1,Alaska,61.96388889,-151.55583333
10019,A06,Navigator Airstrip,"Kougarok, AK",1,Alaska,65.65555556,-165.35638889
10020,A07,Roland Norton Memorial,"Selawik, AK",1,Alaska,66.76611111,-160.15277778
10020,A07,Roland Norton Memorial Airstrip,"Selawik, AK",1,Alaska,66.76583333,-160.15250000
10021,A08,Pillar Bay Airport,"Pillar Bay, AK",1,Alaska,56.59805556,-134.24277778
10022,A09,Johnstone Point Airport,"Johnstone Point, AK",1,Alaska,60.48166667,-146.58416667
10022,A09,Johnstone Point Airport,"Johnstone Point, AK",1,Alaska,60.48166667,-146.58416667
10022,A09,Johnstone Point Airport,"Johnstone Point, AK",1,Alaska,60.48222222,-146.58222222
10022,A09,Johnstone Point Airport,"Johnstone Point, AK",1,Alaska,60.48222222,-146.58222222
10022,JOH,Johnstone Point Airport,"Johnstone Point, AK",1,Alaska,60.48138889,-146.58222222
10023,KTH,Tikchik Lodge Airport,"Tikchik Lodge, AK",1,Alaska,59.95555556,-158.48055556
10023,TLK,Tikchik Lodge Airport,"Tikchik Lodge, AK",1,Alaska,59.95555556,-158.48055556
10024,A11,Bell Creek Airport,"Bell Creek, AK",1,Alaska,60.78388889,-159.54027778
10025,A12,Cinnabar Airport,"Cinnabar, AK",1,Alaska,60.78527778,-158.86444444
10026,A13,Mountaintop Mine Airport,"Mountaintop Mine, AK",1,Alaska,61.39027778,-157.99555556
10027,A14,Whitebear Airport,"Whitebear, AK",1,Alaska,61.18888889,-159.85833333
10028,A15,Puviaq Airport,"Puviaq, AK",1,Alaska,70.71555556,-154.40694444
10028,A15,Puviaq Airport,"Puviaq, AK",1,Alaska,70.71861111,-154.38833333
10029,A16,Arley Lake Airport,"Arley Lake, AK",1,Alaska,70.74694444,-155.36083333
10030,A17,Port Vita Airport,"Port Vita, AK",1,Alaska,58.06555556,-153.07250000
10031,A18,Kantishna Airport,"Kantishna, AK",1,Alaska,63.54111111,-150.99500000
10031,A18,Kantishna Airport,"Kantishna, AK",1,Alaska,63.54111111,-150.99500000
10031,A18,Kantishna Airport,"Kantishna, AK",1,Alaska,63.54166667,-150.99388889
10031,A18,Kantishna Airport,"Kantishna, AK",1,Alaska,63.54166667,-150.99388889
10033,A20,Alpine Airstrip,"Alpine, AK",1,Alaska,70.34416667,-150.94472222
10034,A21,Serpentine Airport,"Serpentine, AK",1,Alaska,65.85138889,-164.70277778
10035,A22,Driftwood Bay Airport,"Driftwood Bay, AK",1,Alaska,53.97277778,-166.85694444
10036,A23,Bradley Lake Airport,"Bradley Lake, AK",1,Alaska,59.77611111,-151.96361111
10037,A24,Chilkat Lake Airport,"Chilkat Lake, AK",1,Alaska,59.33166667,-135.89666667
10038,A25,Nugget Creek Airport,"Nugget Creek, AK",1,Alaska,59.28833333,-136.17388889
10039,A26,Ivotuk Airstrip,"Ivotuk, AK",1,Alaska,68.48333333,-155.73333333
10040,A27,Pogo Mines Airport,"Pogo Mines, AK",1,Alaska,64.44000000,-144.93638889
10041,A28,Ayakulik River Airport,"Ayakulik River, AK",1,Alaska,57.25388889,-154.42222222
10042,A29,Kiluda Bay Airport,"Kiluda Bay, AK",1,Alaska,57.32305556,-153.14944444
10043,A30,Terror Lake Airport,"Terror Lake, AK",1,Alaska,57.96388889,-153.05833333
10044,A31,Selief Bay Airport,"Selief Bay, AK",1,Alaska,58.98277778,-153.18333333
10047,A34,Laura Lake Airport,"Laura Lake, AK",1,Alaska,58.36194444,-152.31222222
