"origin_airport","latitude","longitude","total_flights","delayed_flights_count"
"ATL",33.64083333,-84.42722222,1023,205.0
"SEA",47.45,-122.31166667,545,104.0
"BOS",42.36361111,-71.00611111,448,102.0
"JAX",30.49416667,-81.68777778,104,18.0
"ORD",41.98166667,-87.90666667,747,150.0
"AUS",30.19444444,-97.67,284,64.0
"LAS",36.08,-115.15222222,571,134.0
"MCO",28.43166667,-81.32472222,487,136.0
"CHS",32.89916667,-80.03888889,85,24.0
"LAX",33.94277778,-118.40861111,582,101.0
"IND",39.72888889,-86.28166667,130,18.0
"DEN",39.86166667,-104.67305556,855,254.0
"MDW",41.78583333,-87.7525,249,84.0
"HNL",21.31861111,-157.9225,181,34.0
"OMA",41.30305556,-95.89416667,68,11.0
"CVG",39.04888889,-84.66777778,124,19.0
"MBS",43.53305556,-84.07972222,3,0.0
"PHX",33.43611111,-112.00944444,506,113.0
"DFW",32.89722222,-97.03777778,864,197.0
"SFO",37.61888889,-122.375,413,78.0
"MSP",44.88611111,-93.21777778,364,75.0
"SLC",40.78833333,-111.97777778,302,52.0
"BNA",36.12666667,-86.68194444,264,52.0
"SDF",38.17972222,-85.73861111,63,4.0
"SAV",32.1275,-81.20222222,46,8.0
"SMF",38.69555556,-121.58972222,172,40.0
"FLL",26.07416667,-80.15166667,261,83.0
"BHM",33.56388889,-86.75222222,53,14.0
"IAH",29.98333333,-95.34,714,176.0
"DAL",32.84722222,-96.85166667,191,64.0
"SJC",37.36277778,-121.94055556,185,38.0
"DCA",38.85194444,-77.03777778,456,92.0
"SAT",29.53388889,-98.46916667,117,21.0
"HOU",29.64583333,-95.27722222,155,43.0
"TPA",27.97555556,-82.53333333,240,63.0
"OKC",35.39305556,-97.60055556,68,9.0
"MIA",25.79527778,-80.29,343,101.0
"EWR",40.69583333,-74.17166667,410,115.0
"DSM",41.53416667,-93.6575,39,2.0
"BWI",39.17583333,-76.66888889,299,91.0
"SJU",18.44,-66.00222222,100,28.0
"CLT",35.21388889,-80.94305556,553,133.0
"CMI",40.03972222,-88.27972222,7,0.0
"PHL",39.87222222,-75.24083333,289,53.0
"DTW",42.21666667,-83.34444444,365,58.0
"SAN",32.73361111,-117.18666667,266,42.0
"ACK",41.25666667,-70.05972222,5,1.0
"FSD",43.58194444,-96.74194444,52,8.0
"ECP",30.35833333,-85.79555556,20,1.0
"SNA",33.67555556,-117.86694444,135,35.0
"GEG",47.62,-117.53277778,142,24.0
"TYS",35.81222222,-83.9925,40,4.0
"MFR",42.375,-122.87333333,32,2.0
"PDX",45.58916667,-122.595,156,26.0
"XNA",36.28194444,-94.30694444,26,3.0
"PSP",33.83,-116.50611111,60,12.0
"GSP",34.89888889,-82.21388889,41,6.0
"PSM",43.07777778,-70.82333333,3,1.0
"ORF",36.89583333,-76.20138889,77,11.0
"STL",38.74861111,-90.37,177,40.0
"PIA",40.66138889,-89.68722222,8,3.0
"RIC",37.50527778,-77.31972222,55,10.0
"KOA",19.73888889,-156.04555556,51,7.0
"HSV",34.64277778,-86.77555556,25,8.0
"CMH",39.99805556,-82.89194444,141,20.0
"JAC",43.60722222,-110.73777778,18,6.0
"LIH",21.97916667,-159.34583333,33,6.0
"LGA",40.77944444,-73.87583333,477,113.0
"AVL",35.43611111,-82.54194444,26,2.0
"LBB",33.66222222,-101.82277778,13,2.0
"PIT",40.49666667,-80.23583333,250,52.0
"DLH",46.8425,-92.19027778,9,2.0
"IAD",38.9475,-77.46,147,34.0
"ELP",31.80722222,-106.37638889,61,4.0
"MRY",36.58694444,-121.84305556,16,2.0
"FWA",40.97833333,-85.18805556,6,1.0
"MLI",41.44888889,-90.505,6,1.0
"SFB",28.775,-81.24027778,28,7.0
"CLE",41.41083333,-81.84944444,130,21.0
"TUL",36.19833333,-95.88805556,43,6.0
"FAT",36.77666667,-119.71888889,41,10.0
"FAR",46.91555556,-96.81472222,20,3.0
"PSC",46.26388889,-119.11472222,19,1.0
"MSO",46.91638889,-114.09055556,13,3.0
"ITO",19.72361111,-155.05805556,24,3.0
"EUG",44.12444444,-123.21194444,32,6.0
"GRB",44.48472222,-88.12972222,13,3.0
"DAY",39.90222222,-84.21944444,25,2.0
"HHH",32.22444444,-80.6975,5,0.0
"ANC",61.17416667,-149.99805556,55,9.0
"COS",38.80888889,-104.70916667,33,1.0
"MCI",39.2975,-94.71388889,248,32.0
"RSW",26.53611111,-81.755,110,19.0
"HPN",41.06694444,-73.7075,47,9.0
"SHV",32.44694444,-93.82555556,16,3.0
"ABQ",35.03888889,-106.60833333,64,14.0
"OAK",37.72138889,-122.22111111,120,22.0
"CID",41.88444444,-91.70611111,19,4.0
"BUR",34.2,-118.35777778,106,18.0
"ROC",43.12138889,-77.67083333,30,6.0
"MSY",29.99333333,-90.25805556,139,27.0
"LGB",33.8175,-118.15111111,56,14.0
"TTN",40.27666667,-74.81333333,7,1.0
"TUS",32.11888889,-110.94444444,46,9.0
"ABI",32.41138889,-99.68194444,10,1.0
"BOI",43.56527778,-116.225,80,11.0
