"id","name","code"
10001,"Afognak Lake Airport","01A"
10003,"Bear Creek Mining Strip","03A"
10004,"Lik Mining Camp","04A"
10005,"Little Squaw Airport","05A"
10006,"Kizhuyak Bay","06A"
10007,"Klawock Seaplane Base","07A"
10008,"Elizabeth Island Airport","08A"
10009,"Augustin Island","09A"
10010,"Columbia County","1B1"
10011,"Grand Canyon West","1G4"
10012,"Blairstown Airport","1N7"
10013,"Crosbyton Municipal","8F3"
10014,"Blair Lake","A01"
10015,"Deadmans Bay Airport","A02"
10016,"Hallo Bay Airport","A03"
10017,"Red Lake Airport","A04"
10018,"Shell Lake Airport","A05"
10019,"Navigator Airstrip","A06"
10020,"Roland Norton Memorial","A07"
10021,"Pillar Bay Airport","A08"
10022,"Johnstone Point Airport","A09"
10023,"Tikchik Lodge Airport","KTH"
10024,"Bell Creek Airport","A11"
10025,"Cinnabar Airport","A12"
10026,"Mountaintop Mine Airport","A13"
10027,"Whitebear Airport","A14"
10028,"Puviaq Airport","A15"
10029,"Arley Lake Airport","A16"
10030,"Port Vita Airport","A17"
10031,"Kantishna Airport","A18"
10033,"Alpine Airstrip","A20"
10034,"Serpentine Airport","A21"
10035,"Driftwood Bay Airport","A22"
10036,"Bradley Lake Airport","A23"
10037,"Chilkat Lake Airport","A24"
10038,"Nugget Creek Airport","A25"
10039,"Ivotuk Airstrip","A26"
10040,"Pogo Mines Airport","A27"
10041,"Ayakulik River Airport","A28"
10042,"Kiluda Bay Airport","A29"
10043,"Terror Lake Airport","A30"
10044,"Selief Bay Airport","A31"
10047,"Laura Lake Airport","A34"
10049,"Deep Bay Airport","A36"
10050,"Kako Airport","A37"
10051,"Molly Creek Airport","A38"
10052,"Ptarmigan Lake Airport","A39"
10053,"Cape Simpson Airport","A40"
10054,"Kogru River Airport","A41"
10055,"Teshepkuk Lake Airport","A42"
10056,"Trident Basin Seaplane Base","A43"
10058,"Lake Florence Airport","A45"
10059,"Lake Hasselborg Airport","A46"
10060,"Distin Lake Airport","A47"
10061,"Port Hobron Airport","A48"
10062,"Mooseville Airstrip Airport","A49"
10063,"Big Bay Airport","A50"
10064,"Wien Lake Airport","A51"
10065,"Silver Salmon Creek Airport","A52"
10066,"Blear Lake Airport","A53"
10067,"Cannery Bay Airport","A54"
10069,"Johnsons Landing","A56"
10070,"International Seafoods Airport","A57"
10071,"Cosna River Airport","A58"
10072,"Ivatuk Airport","A59"
10074,"Cape Sarichef AFS","A61"
10075,"Taylor Mountain","A62"
10076,"Coal Creek","A63"
10078,"Karluk Portage Airport","A65"
10079,"Hope Airport","A66"
10080,"Viekoda Bay Airport","A67"
10082,"Cathedral Strip","A69"
10083,"Village Islands Airport","A70"
10084,"Bear Cove Farm","A71"
10085,"Chinitna Bay Airport","A72"
10086,"McKinley National Park","A73"
10087,"Dog Fish Bay","A74"
10088,"Malina Bay Airport","A75"
10089,"Red Fox Bay Airport","A76"
10090,"Shearwater Airport","A77"
10091,"Lake","A78"
10092,"Cape Simpson No. 1","A79"
10093,"Cape Simpson No. 7","A80"
10094,"Cape Simpson #1","A81"
10095,"Nikiski Private Airstrip","A82"
10096,"Petrof Point Airport","A83"
10097,"Denali West Lodge Private","A84"
10098,"Big River Airport","A85"
10100,"Carry Inlet Airport","A87"
10102,"Montague Island Airport","A89"
10103,"Shannon Pond Airport","A90"
10104,"Omalik Lagoon Airport","A91"
10105,"Omolik Lagoon Airport","A92"
