code_name,weather_name,Levenshtein_Distance
Manchester Airport,"MANCHESTER AIRPORT, NH US",0
King Salmon Airport,"KING SALMON AIRPORT, AK US",0
Yakutat Airport,"YAKUTAT AIRPORT, AK US",0
Decatur Airport,"DECATUR AIRPORT, IL US",0
Wrangell Airport,"WRANGELL AIRPORT, AK US",0
Bishop Airport,"BISHOP AIRPORT, CA US",0
Bristol Airport,"BRISTOL AIRPORT, TN US",0
Boise Air Terminal,"BOISE AIR TERMINAL, ID US",0
Kodiak Airport,"KODIAK AIRPORT, AK US",0
Buffalo Niagara International,"BUFFALO NIAGARA INTERNATIONAL, NY US",0
Nome Airport,"NOME AIRPORT, AK US",0
Birmingham Airport,"BIRMINGHAM AIRPORT, AL US",0
Birmingham Airport,"BIRMINGHAM AIRPORT, AL US",0
Kahului Airport,"KAHULUI AIRPORT, HI US",0
Bethel Airport,"BETHEL AIRPORT, AK US",0
Burlington International,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1
Camarillo Airport,"AMARILLO AIRPORT, TX US",1
Corpus Christi International,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1
Melbourne International,"MELBOURNE INTERNATIONAL AIRPORT, FL US",1
Asheville Regional,"ASHEVILLE REGIONAL AIRPORT, NC US",1
Wilmington International,"WILMINGTON INTERNATIONAL AIRPORT, NC US",1
Santa Barbara Municipal,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",1
Syracuse Hancock International,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",1
Elko Regional,"ELKO REGIONAL AIRPORT, NV US",1
Key West International,"KEY WEST INTERNATIONAL AIRPORT, FL US",1
Decatur,"DECATUR AIRPORT, IL US",1
Minot International,"MINOT INTERNATIONAL AIRPORT, ND US",1
Monterey Peninsula,"MONTEREY PENINSUL AIRPORT, CA US",1
Nantucket Memorial,"NANTUCKET MEMORIAL AIRPORT, MA US",1
Lafayette Regional,"LAFAYETTE REGIONAL AIRPORT, LA US",1
Montrose Regional,"MONTROSE REGIONAL AIRPORT, CO US",1
Fairbanks International,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1
Midland International,"MIDLAND INTERNATIONAL AIRPORT, TX US",1
Washington Dulles International,"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US",1
Memphis International,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1
Dothan Regional,"DOTHAN REGIONAL AIRPORT, AL US",1
Mason City Municipal,"MASON CITY MUNICIPAL AIRPORT, IA US",1
Charlottesville Albemarle,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",1
Wilkes Barre Scranton International,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1
Jackson Hole,"JACKSON HOLE AIRPORT, WY US",1
Columbia Metropolitan,"COLUMBIA METROPOLITAN AIRPORT, SC US",1
Aberdeen Regional,"ABERDEEN REGIONAL AIRPORT, SD US",1
Bismarck Municipal,"BISMARCK MUNICIPAL AIRPORT, ND US",1
Daytona Beach International,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",1
Melbourne International,"MELBOURNE INTERNATIONAL AIRPORT, FL US",1
Monroe Regional,"MONROE REGIONAL AIRPORT, LA US",1
Lubbock International,"LUBBOCK INTERNATIONAL AIRPORT, TX US",1
Missoula International,"MISSOULA INTERNATIONAL AIRPORT, MT US",1
Columbia Regional,"COLUMBIA REGIONAL AIRPORT, MO US",1
Fort Smith Regional,"FORT SMITH REGIONAL AIRPORT, AR US",1
Alexandria International,"ALEXANDRIA INTERNATIONAL AIRPORT, LA US",1
Ontario International,"ONTARIO INTERNATIONAL AIRPORT, CA US",1
Lake Charles Regional,"LAKE CHARLES REGIONAL AIRPORT, LA US",1
Fort Wayne International,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1
Mobile Regional,"MOBILE REGIONAL AIRPORT, AL US",1
Worcester Regional,"WORCESTER REGIONAL AIRPORT, MA US",1
