"NAME"
"CHARLESTON INTL. AIRPORT, SC US"
"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US"
"ALBANY INTERNATIONAL AIRPORT, NY US"
"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US"
"BUFFALO NIAGARA INTERNATIONAL, NY US"
"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US"
"COLUMBIA METROPOLITAN AIRPORT, SC US"
"CHATTANOOGA AIRPORT, TN US"
"CHARLOTTE DOUGLAS AIRPORT, NC US"
"BANGOR INTERNATIONAL AIRPORT, ME US"
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US"
"SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US"
"KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US"
"BRAINERD CROW WING CO AIRPORT, MN US"
"NASHVILLE INTERNATIONAL AIRPORT, TN US"
"BURLINGTON INTERNATIONAL AIRPORT, VT US"
"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US"
"COLUMBUS METROPOLITAN AIRPORT, GA US"
"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US"
"BISMARCK MUNICIPAL AIRPORT, ND US"
"BOZEMAN GALLATIN FIELD AIRPORT, MT US"
"BOISE AIR TERMINAL, ID US"
"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US"
"KEY WEST INTERNATIONAL AIRPORT, FL US"
"ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US"
"HANCOCK HOUGHTON CO AIRPORT, MI US"
"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US"
"KING SALMON AIRPORT, AK US"
"KODIAK AIRPORT, AK US"
"EL PASO INTERNATIONAL AIRPORT, TX US"
"AMARILLO AIRPORT, TX US"
"BUTTE BERT MOONEY AIRPORT, MT US"
"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US"
"CEDAR RAPIDS MUNICIPAL AIRPORT, IA US"
"NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT, FL US"
"APPLETON OUTAGAMIE CO AIRPORT, WI US"
"NANTUCKET MEMORIAL AIRPORT, MA US"
"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US"
"ARCATA EUREKA AIRPORT, CA US"
"KEARNEY MUNICIPAL AIRPORT, NE US"
"ELMIRA CORNING REGIONAL AIRPORT, NY US"
"FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD, NC US"
"FRESNO YOSEMITE INTERNATIONAL, CA US"
"BILLINGS INTERNATIONAL AIRPORT, MT US"
"ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US"
"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US"
"MOAB CANYONLAND AIRPORT, UT US"
"FARGO HECTOR INTERNATIONAL AIRPORT, ND US"
"BINGHAMTON GREATER AP, NY US"
"DULUTH INTERNATIONAL AIRPORT, MN US"
"BETHEL AIRPORT, AK US"
"DETROIT METRO AIRPORT, MI US"
"ALPENA CO REGIONAL AIRPORT, MI US"
"ALEXANDRIA INTERNATIONAL AIRPORT, LA US"
"DES MOINES INTERNATIONAL AIRPORT, IA US"
"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US"
"ABILENE REGIONAL AIRPORT, TX US"
"AKRON CANTON AIRPORT, OH US"
"DALLAS FAA AIRPORT, TX US"
"ABERDEEN REGIONAL AIRPORT, SD US"
"DOTHAN REGIONAL AIRPORT, AL US"
"WACO REGIONAL AIRPORT, TX US"
"DECATUR AIRPORT, IL US"
"EUGENE MAHLON SWEET FIELD, OR US"
"CLARKSBURG BENEDUM AIRPORT, WV US"
"JOHN GLENN INTERNATIONAL AIRPORT, OH US"
"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US"
"DURANGO LA PLATA CO AIRPORT, CO US"
"DEVILS LAKE MUNICIPAL AIRPORT, ND US"
"DAL FTW WSCMO AIRPORT, TX US"
"BATON ROUGE METRO AIRPORT, LA US"
"BLOOMINGTON NORMAL AIRPORT, IL US"
"DENVER INTERNATIONAL AIRPORT, CO US"
"ASHEVILLE REGIONAL AIRPORT, NC US"
"BELLINGHAM INTERNATIONAL AIRPORT, WA US"
"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US"
"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US"
"DAYTON INTERNATIONAL AIRPORT, OH US"
"EVANSVILLE REGIONAL AIRPORT, IN US"
"DUBUQUE REGIONAL AIRPORT, IA US"
"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US"
"CHIPPEWA INTERNATIONAL AIRPORT, MI US"
"WASHINGTON REAGAN NATIONAL AIRPORT, VA US"
"DODGE CITY REGIONAL AIRPORT, KS US"
"ELKO REGIONAL AIRPORT, NV US"
"BURBANK GLENDALE PASADENA AIRPORT, CA US"
"AUGUSTA BUSH FIELD AIRPORT, GA US"
"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US"
"CHAMPAIGN URBANA WILLARD AIRPORT, IL US"
"KALISPELL GLACIER AIRPORT, MT US"
"BAKERSFIELD AIRPORT, CA US"
"CASPER NATRONA CO AIRPORT, WY US"
"BISHOP AIRPORT, CA US"
"COLUMBIA REGIONAL AIRPORT, MO US"
"BIRMINGHAM AIRPORT, AL US"
"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US"
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US"
"ALBANY SW GEORGIA REGIONAL AIRPORT, GA US"
"CORDOVA AIRPORT, AK US"
"FAIRBANKS INTERNATIONAL AIRPORT, AK US"
"NORTH MYRTLE BEACH, SC US"
"KAHULUI AIRPORT, HI US"
"LAGUARDIA AIRPORT, NY US"
"GREAT FALLS AIRPORT, MT US"
"LARAMIE AIRPORT, WY US"
"LOS ANGELES INTERNATIONAL AIRPORT, CA US"
"GUAM INTERNATIONAL AIRPORT, GU GQ"
"HONOLULU INTERNATIONAL AIRPORT, HI US"
"IDAHO FALLS FAA AIRPORT, ID US"
"HELENA AIRPORT ASOS, MT US"
"NORTH PLATTE REGIONAL AIRPORT, NE US"
"HAYS 6.0 WNW, TX US"
"IRON MOUNTAIN FORD AIRPORT, MI US"
"MONTGOMERY AIRPORT, AL US"
"HOUSTON INTERCONTINENTAL AIRPORT, TX US"
"MOBILE REGIONAL AIRPORT, AL US"
"HIBBING CHISHOLM HIBBING AIRPORT, MN US"
"MEMPHIS INTERNATIONAL AIRPORT, TN US"
"FORT DODGE OZARK AIRLINES, IA US"
"MIAMI INTERNATIONAL AIRPORT, FL US"
"LUBBOCK INTERNATIONAL AIRPORT, TX US"
"MCALLEN MILLER INTERNATIONAL AIRPORT, TX US"
"MELBOURNE INTERNATIONAL AIRPORT, FL US"
"HUNTSVILLE INTNL AIRPORT, AL US"
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US"
"MCCARRAN INTERNATIONAL AIRPORT, NV US"
"MINOT INTERNATIONAL AIRPORT, ND US"
"ISLIP LI MACARTHUR AIRPORT, NY US"
"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US"
"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US"
"HAYDEN YAMPA VALLEY AIRPORT, CO US"
"MONROE REGIONAL AIRPORT, LA US"
"JFK INTERNATIONAL AIRPORT, NY US"
"OAKLAND INTERNATIONAL AIRPORT, CA US"
"FLAGSTAFF AIRPORT, AZ US"
"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US"
"JACKSON HOLE AIRPORT, WY US"
"ROBERT GRAY ARMY AIR FIELD, TX US"
"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US"
"LONGVIEW E TX REGIONAL AIRPORT, TX US"
"LA CROSSE REGIONAL AIRPORT, WI US"
"JAMESTOWN MUNICIPAL AIRPORT, ND US"
"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US"
"GOLDEN TRIANGLE, MS US"
"GARDEN CITY REGIONAL AIRPORT, KS US"
"MISSOULA INTERNATIONAL AIRPORT, MT US"
"GRAND FORKS INTERNATIONAL AIRPORT, ND US"
"GRAND JUNCTION WALKER FIELD, CO US"
"GRNVL SPART INTERNATIONAL AIRPORT, SC US"
"SPOKANE INTERNATIONAL AIRPORT, WA US"
"JUNEAU AIRPORT, AK US"
"LONG BEACH DAUGHERTY AIRPORT, CA US"
"HILO INTERNATIONAL AIRPORT 87, HI US"
"GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US"
"JOHNSTOWN CAMBRIA CO AIRPORT, PA US"
"FORT SMITH REGIONAL AIRPORT, AR US"
"GREEN BAY A S INTERNATIONAL AIRPORT, WI US"
"LITTLE ROCK AIRPORT ADAMS FIELD, AR US"
"GULFPORT BILOXI AIRPORT, MS US"
"VINEYARD HAVEN MARTHAS VINEYARD AIRPORT, MA US"
"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US"
"MOLINE QUAD CITY INTERNATIONAL AIRPORT, IL US"
"MEDFORD INTERNATIONAL AIRPORT, OR US"
"KAILUA KONA KE AHOLE AIRPORT, HI US"
"MONTEREY PENINSUL AIRPORT, CA US"
"LAREDO INTERNATIONAL AIRPORT, TX US"
"SIOUX FALLS FOSS FIELD, SD US"
"LAFAYETTE REGIONAL AIRPORT, LA US"
"MASON CITY MUNICIPAL AIRPORT, IA US"
"WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US"
"NEW ORLEANS AIRPORT, LA US"
"CHICAGO MIDWAY AIRPORT, IL US"
"GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US"
"HOUSTON WILLIAM P HOBBY AIRPORT, TX US"
"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US"
"JOPLIN REGIONAL AIRPORT, MO US"
"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US"
"MONTROSE REGIONAL AIRPORT, CO US"
"LAKE CHARLES REGIONAL AIRPORT, LA US"
"MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US"
"MANHATTAN ASOS, KS US"
"MANCHESTER AIRPORT, NH US"
"WESTCHESTER CO AIRPORT, NY US"
"JACKSON INTERNATIONAL AIRPORT, MS US"
"FORT WAYNE INTERNATIONAL AIRPORT, IN US"
"FLINT FCWOS, MI US"
"SAGINAW MBS INTERNATIONAL AIRPORT, MI US"
"KANSAS CITY INTERNATIONAL AIRPORT, MO US"
"LEXINGTON BLUEGRASS AIRPORT, KY US"
"MUSKEGON CO AIRPORT, MI US"
"ORLANDO INTERNATIONAL AIRPORT, FL US"
"LAWTON MUNICIPAL AIRPORT, OK US"
"LIBERAL MUNICIPAL AIRPORT, KS US"
"GAINESVILLE REGIONAL AIRPORT, FL US"
"MILWAUKEE MITCHELL AIRPORT, WI US"
"WILMINGTON INTERNATIONAL AIRPORT, NC US"
"MADISON DANE CO REGIONAL AIRPORT, WI US"
"LANSING CAPITAL CITY AIRPORT, MI US"
"KETCHIKAN AIRPORT, AK US"
"MIDLAND INTERNATIONAL AIRPORT, TX US"
"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US"
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US"
"ROSWELL INDUSTRIAL AIR PARK, NM US"
"RHINELANDER ONEIDA CO AIRPORT, WI US"
"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US"
"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US"
"SARASOTA BRADENTON AIRPORT, FL US"
"WILLISTON AIRPORT, ND US"
"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US"
"TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US"
"SALINA MUNICIPAL AIRPORT, KS US"
"SAN JOSE, CA US"
"SHREVEPORT AIRPORT, LA US"
"ROCHESTER INTERNATIONAL AIRPORT, MN US"
"SOUTH BEND AIRPORT, IN US"
"RIVERTON REGIONAL AIRPORT, WY US"
"STILLWATER REGIONAL AIRPORT, OK US"
"ROCK SPRINGS AIRPORT, WY US"
"SANTA ROSA SONOMA CO AIRPORT, CA US"
"SHERIDAN AIRPORT, WY US"
"EVERETT SNOHOMISH CO AIRPORT, WA US"
"TALLAHASSEE REGIONAL AIRPORT, FL US"
"PENSACOLA REGIONAL AIRPORT, FL US"
"TAMPA INTERNATIONAL AIRPORT, FL US"
"TWIN FALLS SUN VALLEY REGIONAL AIRPORT, ID US"
"SIOUX CITY AIRPORT, IA US"
"OMAHA EPPLEY AIRFIELD, NE US"
"RAPID CITY REGIONAL AIRPORT, SD US"
"TYLER POUNDS FIELD, TX US"
"SAN LUIS OBISPO MCCHESNEY FIELD, CA US"
"VICTORIA REGIONAL AIRPORT, TX US"
"TULSA INTERNATIONAL AIRPORT, OK US"
"CYRIL E. KING AIRPORT, VI US"
"TUCSON INTERNATIONAL AIRPORT, AZ US"
"OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US"
"WICHITA FALLS MUNICIPAL AIRPORT, TX US"
"SANTA FE CO MUNICIPAL AIRPORT, NM US"
"REDDING AIRPORT, CA US"
"TRENTON MERCER AIRPORT, NJ US"
"KOTZEBUE AIRPORT, AK US"
"NOME AIRPORT, AK US"
"ORLANDO SANFORD AIRPORT, FL US"
"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US"
"HENRY E. ROHLSEN AIRPORT, VI US"
"PALM SPRINGS ASOS, CA US"
"FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US"
"RICHMOND INTERNATIONAL AIRPORT, VA US"
"ROCKFORD GREATER ROCKFORD AIRPORT, IL US"
"WORCESTER REGIONAL AIRPORT, MA US"
"PITTSBURGH INTERNATIONAL AIRPORT, PA US"
"ONTARIO INTERNATIONAL AIRPORT, CA US"
"PASCO TRI CITIES AIRPORT, WA US"
"VERNAL MUNICIPAL AIRPORT, UT US"
"PHILADELPHIA INTERNATIONAL AIRPORT, PA US"
"SANTA ANA JOHN WAYNE AIRPORT, CA US"
"NORFOLK INTERNATIONAL AIRPORT, VA US"
"SANTA BARBARA MUNICIPAL AIRPORT, CA US"
"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US"
"SAN ANTONIO INTERNATIONAL AIRPORT, TX US"
"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US"
"TEXARKANA WEBB FIELD, AR US"
"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US"
"YAKUTAT AIRPORT, AK US"
"STOCKTON AIRPORT, CA US"
